stock_id,date,eps
1216,2023-09-30,0.98
1216,2023-12-31,0.28
1216,2024-03-31,0.97
1216,2024-06-30,1.04
1216,2024-09-30,1.08
1216,2024-12-31,0.55
1216,2025-03-31,0.91
1216,2025-06-30,0.97
1216,2025-09-30,1.05
1217,2017-03-31,-0.05
1217,2017-06-30,-0.07
1217,2017-09-30,0.12
1217,2017-12-31,0.27
1217,2018-03-31,0.08
1217,2018-06-30,-0.08
1217,2018-09-30,0.13
1217,2018-12-31,-0.03
1217,2019-03-31,0.03
1217,2019-06-30,0.01
1217,2019-09-30,0.16
1217,2019-12-31,-0.1
1217,2020-03-31,0.05
1217,2020-06-30,0.1
1217,2020-09-30,0.36
1217,2020-12-31,-0.04
1217,2021-03-31,0.14
1217,2021-06-30,0.23
1217,2021-09-30,0.18
1217,2021-12-31,-0.14
1217,2022-03-31,0.1
1217,2022-06-30,-0.03
1217,2022-09-30,0.52
1217,2022-12-31,-0.03
1217,2023-03-31,0.13
1217,2023-06-30,0.04
1217,2023-09-30,0.19
1217,2023-12-31,0.05
1217,2024-03-31,0.16
1217,2024-06-30,0.24
1217,2024-09-30,0.22
1217,2024-12-31,-0.04
1217,2025-03-31,-0.19
1217,2025-06-30,0.14
1217,2025-09-30,0.36
1218,2017-03-31,0.0
1218,2017-06-30,-0.01
1218,2017-09-30,0.89
1218,2017-12-31,0.05
1218,2018-03-31,0.19
1218,2018-06-30,0.28
1218,2018-09-30,0.44
1218,2018-12-31,0.07
1218,2019-03-31,0.22
1218,2019-06-30,0.28
1218,2019-09-30,0.54
1218,2019-12-31,0.16
1218,2020-03-31,0.26
1218,2020-06-30,0.47
1218,2020-09-30,0.7
1218,2020-12-31,0.32
1218,2021-03-31,0.34
1218,2021-06-30,0.28
1218,2021-09-30,0.29
1218,2021-12-31,0.31
1218,2022-03-31,0.29
1218,2022-06-30,0.27
1218,2022-09-30,0.32
1218,2022-12-31,11.29
1218,2023-03-31,-0.14
1218,2023-06-30,-0.79
1218,2023-09-30,0.36
1218,2023-12-31,0.4
1218,2024-03-31,0.32
1218,2024-06-30,0.42
1218,2024-09-30,0.55
1218,2024-12-31,0.24
1218,2025-03-31,0.37
1218,2025-06-30,0.29
1218,2025-09-30,0.41
1219,2017-03-31,0.11
1219,2017-06-30,-0.01
1219,2017-09-30,0.09
1219,2017-12-31,0.25
1219,2018-03-31,0.15
1219,2018-06-30,0.11
1219,2018-09-30,-0.34
1219,2018-12-31,0.05
1219,2019-03-31,0.1
1219,2019-06-30,0.04
1219,2019-09-30,0.09
1219,2019-12-31,0.4
1219,2020-03-31,0.83
1219,2020-06-30,0.23
1219,2020-09-30,0.42
1219,2020-12-31,0.43
1219,2021-03-31,0.73
1219,2021-06-30,0.15
1219,2021-09-30,-0.09
1219,2021-12-31,0.21
1219,2022-03-31,0.63
