stock_id,date,cash_dividend,stock_dividend
1316,2023-10-25,0.54945382,0.0
1316,2025-01-15,0.0,0.0
1319,2017-07-22,2.12,0.0
1319,2018-07-24,2.05,0.0
1319,2019-07-27,1.7,0.0
1319,2020-06-29,1.8,0.0
1319,2021-07-04,0.8,0.0
1319,2022-06-29,0.85,0.0
1319,2023-07-02,2.5,0.0
1319,2024-06-26,4.0,0.0
1319,2025-06-28,5.3,0.0
1321,2021-09-01,1.0,0.0
1321,2022-09-01,0.7,0.0
1321,2024-08-31,0.4,0.0
1321,2025-08-30,0.38,0.0
1323,2017-07-22,1.8,0.0
1323,2018-07-18,1.3,0.0
1323,2019-07-27,1.8,0.0
1323,2020-07-18,1.6,0.0
1323,2021-07-17,1.6,0.0
1323,2022-06-29,1.6,0.0
1323,2023-06-25,1.1,0.0
1323,2024-06-16,1.0,0.0
1323,2025-06-11,0.8999999999999999,0.0
1324,2017-09-03,0.4,0.0
1324,2018-07-02,0.3,0.0
1324,2019-09-01,0.3,0.0
1324,2020-08-30,0.3,0.0
1324,2021-08-23,0.3,0.0
1324,2022-08-27,0.2,0.0
1324,2023-09-02,0.2,0.0
1324,2024-09-01,0.2,0.0
1324,2025-09-03,0.2,0.0
1325,2017-07-26,0.8,0.0
1325,2018-07-22,0.35,0.0
1325,2019-07-20,0.5,0.0
1325,2020-07-22,0.3,0.0
1325,2021-07-21,12.0,0.0
1325,2022-07-24,2.0,0.0
1325,2023-08-02,0.5,0.0
1325,2024-07-16,0.6,0.0
1325,2025-07-14,0.3,0.0
1326,2017-07-12,5.6,0.0
1326,2018-07-11,7.0,0.0
1326,2019-07-02,6.2,0.0
1326,2020-07-07,3.8,0.0
1326,2021-08-02,2.5,0.0
1326,2022-07-04,4.8,0.0
1326,2023-06-20,0.95,0.0
1326,2024-07-16,1.25,0.0
1326,2025-07-07,0.5,0.0
1337,2017-09-06,0.00705851,0.06352657
1337,2018-09-08,0.0028905,0.02601435
1338,2017-07-19,4.0,0.0
1338,2018-07-18,5.0,0.0
1338,2019-07-17,3.5,0.0
1338,2020-07-15,3.5,0.0
1338,2021-08-09,3.5,0.0
1338,2022-07-20,2.5,0.0
1338,2023-07-23,2.0,0.0
1338,2024-07-23,0.5,0.0
1338,2025-07-15,0.7751097,0.0
1339,2017-09-06,2.0,0.0
1339,2018-09-06,2.0,0.0
1339,2019-09-02,2.0,0.0
1339,2020-09-01,2.0,0.0
1339,2021-09-06,2.0,0.0
1339,2022-08-24,2.0,0.0
1339,2023-09-12,3.0,0.0
1339,2024-08-27,3.0,0.0
1339,2025-09-12,3.0,0.0
1340,2017-08-30,1.2,1.0
1340,2018-09-01,0.3,1.0
1340,2019-08-26,0.19999999,1.0
1341,2019-07-18,3.0,0.0
1341,2020-07-05,5.0,0.0
1341,2021-07-26,6.0,0.0
1341,2022-07-13,6.0,0.0
1341,2022-12-10,3.13101743,0.0
1341,2023-07-14,2.98750497,0.0
1341,2024-07-06,4.40023123,0.0
1341,2025-04-04,5.2,0.0
1342,2020-01-18,0.0,0.0
1342,2020-07-06,2.5,0.0
1342,2021-06-09,2.5,0.0
1342,2022-06-12,3.0,0.0
1342,2023-03-24,5.368536,0.0
1342,2024-03-29,5.0,0.0
1342,2024-07-23,0.0,0.99998763
1342,2025-03-28,4.79290281,0.0
1342,2026-03-20,6.0,0.0
1402,2017-07-28,0.8,0.0
1402,2018-07-27,1.2,0.0
1402,2019-07-27,1.8,0.0
1402,2020-08-02,1.5,0.0
1402,2021-08-07,1.35,0.0
1402,2022-08-03,1.5,0.0
1402,2023-07-23,1.35,0.0
1402,2024-07-24,1.35,0.0
1402,2025-07-21,1.6,0.0
1409,2017-09-03,0.25,0.0
1409,2018-09-03,0.5,0.0
1409,2019-09-03,0.85,0.0
1409,2020-09-07,0.55,0.0
1409,2021-09-06,1.1,0.0
1409,2022-09-05,1.4,0.0
1409,2023-09-08,1.0,0.0
1409,2024-09-02,0.55,0.0
1409,2025-09-01,0.6,0.0
1410,2017-07-16,1.45,0.0
1410,2018-07-21,1.4,0.0
1410,2019-07-21,1.3,0.0
1410,2020-06-29,1.0,0.0
1410,2021-07-22,0.9,0.0
1410,2022-07-24,1.3,0.0
1410,2023-07-10,0.8,0.0
1410,2024-07-13,0.3,0.0
1410,2025-08-04,0.50806451,0.0
1414,2017-07-24,0.2,0.0
1414,2018-07-25,0.32,0.0
1414,2019-07-24,0.2,0.0
1414,2020-07-19,0.2,0.0
1414,2021-07-25,0.246,0.0
1414,2022-07-18,0.538,0.0
1414,2023-06-20,0.32,0.0
