stock_id,date,revenue
2033,2023-05-01,50172000
2033,2023-06-01,53767000
2033,2023-07-01,51062000
2033,2023-08-01,41668000
2033,2023-09-01,46665000
2033,2023-10-01,44607000
2033,2023-11-01,42203000
2033,2023-12-01,52301000
2033,2024-01-01,56554000
2033,2024-02-01,51595000
2033,2024-03-01,34276000
2033,2024-04-01,49860000
2033,2024-05-01,43689000
2033,2024-06-01,50596000
2033,2024-07-01,55200000
2033,2024-08-01,45110000
2033,2024-09-01,48987000
2033,2024-10-01,42216000
2033,2024-11-01,42652000
2033,2024-12-01,59781000
2033,2025-01-01,53688000
2033,2025-02-01,61630000
2033,2025-03-01,63198000
2033,2025-04-01,55226000
2033,2025-05-01,56803000
2033,2025-06-01,58713000
2033,2025-07-01,66348000
2033,2025-08-01,63574000
2033,2025-09-01,46858000
2033,2025-10-01,54299000
2033,2025-11-01,58929000
2033,2025-12-01,51467000
2033,2026-01-01,65690000
2033,2026-02-01,70549000
2034,2017-01-01,1649194000
2034,2017-02-01,1578995000
2034,2017-03-01,1526787000
2034,2017-04-01,1968441000
2034,2017-05-01,1608159000
2034,2017-06-01,1743204000
2034,2017-07-01,1733504000
2034,2017-08-01,1541386000
2034,2017-09-01,1566622000
2034,2017-10-01,1464304000
2034,2017-11-01,1398795000
2034,2017-12-01,1475431000
2034,2018-01-01,1660001000
2034,2018-02-01,1771138000
2034,2018-03-01,1154935000
2034,2018-04-01,1776064000
2034,2018-05-01,1642533000
2034,2018-06-01,1852563000
2034,2018-07-01,1812965000
2034,2018-08-01,1719259000
2034,2018-09-01,1705141000
2034,2018-10-01,1553311000
2034,2018-11-01,1617750000
2034,2018-12-01,1221991000
2034,2019-01-01,1301988000
2034,2019-02-01,1595895000
2034,2019-03-01,958618000
2034,2019-04-01,1468449000
2034,2019-05-01,1438624000
2034,2019-06-01,1349318000
2034,2019-07-01,1217870000
2034,2019-08-01,1545581000
2034,2019-09-01,1623485000
2034,2019-10-01,1379583000
2034,2019-11-01,1299248000
2034,2019-12-01,1144280000
2034,2020-01-01,1287788000
2034,2020-02-01,1052001000
2034,2020-03-01,1359852000
2034,2020-04-01,1349388000
2034,2020-05-01,922422000
2034,2020-06-01,1004758000
2034,2020-07-01,971665000
2034,2020-08-01,942357000
2034,2020-09-01,1018752000
2034,2020-10-01,1131724000
2034,2020-11-01,948429000
2034,2020-12-01,950552000
2034,2021-01-01,1065252000
2034,2021-02-01,1042931000
2034,2021-03-01,933462000
2034,2021-04-01,1415329000
2034,2021-05-01,1268314000
2034,2021-06-01,1440575000
2034,2021-07-01,1721703000
2034,2021-08-01,1868463000
2034,2021-09-01,1627102000
2034,2021-10-01,1809602000
2034,2021-11-01,1909639000
2034,2021-12-01,1661156000
2034,2022-01-01,1079643000
2034,2022-02-01,1450652000
2034,2022-03-01,1211939000
2034,2022-04-01,1419289000
2034,2022-05-01,1693995000
2034,2022-06-01,1725700000
2034,2022-07-01,1547455000
2034,2022-08-01,1667173000
2034,2022-09-01,1301373000
2034,2022-10-01,1385638000
2034,2022-11-01,1169565000
2034,2022-12-01,1158869000
2034,2023-01-01,1028155000
2034,2023-02-01,1116935000
2034,2023-03-01,1237268000
2034,2023-04-01,1515006000
2034,2023-05-01,1376403000
2034,2023-06-01,1315674000
2034,2023-07-01,1146128000
2034,2023-08-01,1404962000
2034,2023-09-01,1490669000
2034,2023-10-01,1171231000
2034,2023-11-01,1328044000
2034,2023-12-01,1089958000
2034,2024-01-01,1039899000
2034,2024-02-01,1079326000
2034,2024-03-01,878585000
2034,2024-04-01,1141106000
2034,2024-05-01,966148000
2034,2024-06-01,1370645000
2034,2024-07-01,1202101000
2034,2024-08-01,1280117000
2034,2024-09-01,1357518000
2034,2024-10-01,1158954000
2034,2024-11-01,1318957000
2034,2024-12-01,1439461000
2034,2025-01-01,1329348000
2034,2025-02-01,1223346000
2034,2025-03-01,1297061000
2034,2025-04-01,1112380000
2034,2025-05-01,1061383000
2034,2025-06-01,1265734000
2034,2025-07-01,999935000
2034,2025-08-01,958911000
2034,2025-09-01,1002422000
2034,2025-10-01,993755000
2034,2025-11-01,755068000
2034,2025-12-01,893556000
2034,2026-01-01,979667000
2034,2026-02-01,959841000
2038,2017-01-01,376591000
2038,2017-02-01,277090000
2038,2017-03-01,278026000
2038,2017-04-01,470231000
2038,2017-05-01,361563000
2038,2017-06-01,386494000
2038,2017-07-01,351990000
2038,2017-08-01,435516000
2038,2017-09-01,466386000
2038,2017-10-01,418027000
2038,2017-11-01,508870000
2038,2017-12-01,577797000
2038,2018-01-01,745536000
2038,2018-02-01,765960000
2038,2018-03-01,507448000
2038,2018-04-01,891640000
2038,2018-05-01,682089000
2038,2018-06-01,785698000
2038,2018-07-01,588151000
2038,2018-08-01,562490000
2038,2018-09-01,465237000
2038,2018-10-01,577631000
2038,2018-11-01,758387000
2038,2018-12-01,697898000
2038,2019-01-01,859458000
2038,2019-02-01,783653000
2038,2019-03-01,557953000
2038,2019-04-01,793264000
2038,2019-05-01,745003000
2038,2019-06-01,709582000
2038,2019-07-01,598766000
2038,2019-08-01,539819000
2038,2019-09-01,494017000
2038,2019-10-01,588190000
2038,2019-11-01,677010000
2038,2019-12-01,723744000
2038,2020-01-01,742591000
2038,2020-02-01,472956000
2038,2020-03-01,646442000
2038,2020-04-01,756575000
2038,2020-05-01,775398000
2038,2020-06-01,657470000
2038,2020-07-01,604364000
2038,2020-08-01,620794000
2038,2020-09-01,510825000
2038,2020-10-01,492258000
2038,2020-11-01,557022000
2038,2020-12-01,698833000
2038,2021-01-01,807588000
2038,2021-02-01,787410000
2038,2021-03-01,572909000
2038,2021-04-01,930624000
2038,2021-05-01,805877000
2038,2021-06-01,803225000
2038,2021-07-01,803879000
2038,2021-08-01,776281000
2038,2021-09-01,749054000
2038,2021-10-01,956401000
2038,2021-11-01,971203000
2038,2021-12-01,998261000
2038,2022-01-01,1070006000
2038,2022-02-01,938678000
2038,2022-03-01,742336000
2038,2022-04-01,1025455000
2038,2022-05-01,895997000
2038,2022-06-01,885689000
2038,2022-07-01,948455000
2038,2022-08-01,977276000
2038,2022-09-01,1110642000
2038,2022-10-01,940267000
2038,2022-11-01,890415000
2038,2022-12-01,886895000
2038,2023-01-01,802873000
2038,2023-02-01,524707000
2038,2023-03-01,818337000
2038,2023-04-01,1016053000
2038,2023-05-01,823735000
2038,2023-06-01,820443000
2038,2023-07-01,620903000
2038,2023-08-01,683199000
2038,2023-09-01,758000000
2038,2023-10-01,704066000
2038,2023-11-01,839937000
2038,2023-12-01,896843000
2038,2024-01-01,858866000
2038,2024-02-01,816387000
2038,2024-03-01,546890000
2038,2024-04-01,916486000
2038,2024-05-01,814682000
2038,2024-06-01,840460000
2038,2024-07-01,643892000
2038,2024-08-01,800905000
2038,2024-09-01,942167000
2038,2024-10-01,740124000
2038,2024-11-01,729717000
2038,2024-12-01,846884000
2038,2025-01-01,1085738000
2038,2025-02-01,800736000
2038,2025-03-01,845083000
2038,2025-04-01,873875000
2038,2025-05-01,860785000
2038,2025-06-01,854228000
2038,2025-07-01,760417000
2038,2025-08-01,617143000
2038,2025-09-01,576350000
2038,2025-10-01,626534000
2038,2025-11-01,575234000
2038,2025-12-01,657898000
2038,2026-01-01,874822000
2038,2026-02-01,785722000
2049,2017-01-01,1570503000
2049,2017-02-01,1268757000
2049,2017-03-01,1428898000
2049,2017-04-01,1590477000
2049,2017-05-01,1640959000
2049,2017-06-01,1690148000
2049,2017-07-01,1771107000
2049,2017-08-01,1822209000
2049,2017-09-01,1870316000
2049,2017-10-01,1921189000
2049,2017-11-01,1971326000
2049,2017-12-01,2041337000
2049,2018-01-01,2136962000
2049,2018-02-01,2255359000
2049,2018-03-01,1911575000
2049,2018-04-01,2384745000
2049,2018-05-01,2462095000
2049,2018-06-01,2620473000
2049,2018-07-01,2701630000
2049,2018-08-01,2811145000
2049,2018-09-01,2734603000
2049,2018-10-01,2809488000
2049,2018-11-01,2650004000
2049,2018-12-01,2301474000
2049,2019-01-01,1751055000
2049,2019-02-01,1667522000
2049,2019-03-01,1501218000
2049,2019-04-01,1880117000
2049,2019-05-01,1957222000
2049,2019-06-01,2044873000
2049,2019-07-01,2083989000
2049,2019-08-01,2116093000
2049,2019-09-01,1572389000
2049,2019-10-01,1374363000
2049,2019-11-01,1407133000
2049,2019-12-01,1278641000
2049,2020-01-01,1323171000
2049,2020-02-01,1039231000
2049,2020-03-01,1217899000
2049,2020-04-01,1364012000
2049,2020-05-01,1746884000
2049,2020-06-01,1861385000
2049,2020-07-01,2011222000
