stock_id,name,foreign,trust,dealer,volume,total_inst,inst_buy_ratio,date
2022,聚亨,319400.0,0.0,1000.0,652784.0,320400.0,49.08,2026-06-15
2023,燁輝,-28770.0,0.0,34000.0,1518467.0,5230.0,0.34,2026-06-15
2024,志聯,6000.0,0.0,52.0,44001.0,6052.0,13.75,2026-06-15
2025,千興,310800.0,0.0,39000.0,1568285.0,349800.0,22.3,2026-06-15
2027,大成鋼,-665425.0,-1000.0,-55362.0,10954192.0,-721787.0,-6.59,2026-06-15
2028,威致,30189.0,0.0,12000.0,142319.0,42189.0,29.64,2026-06-15
2029,盛餘,84303.0,0.0,5000.0,326355.0,89303.0,27.36,2026-06-15
2030,彰源,348919.0,0.0,15000.0,1402309.0,363919.0,25.95,2026-06-15
2031,新光鋼,-331946.0,0.0,-474506.0,2586079.0,-806452.0,-31.18,2026-06-15
2032,新鋼,238571.0,0.0,9000.0,690395.0,247571.0,35.86,2026-06-15
2033,佳大,7745.0,0.0,1000.0,778557.0,8745.0,1.12,2026-06-15
2034,允強,1653206.0,0.0,16999.0,3022426.0,1670205.0,55.26,2026-06-15
2038,海光,73579.0,0.0,7000.0,467621.0,80579.0,17.23,2026-06-15
2049,上銀,41269.0,-1104.0,169413.0,2599835.0,209578.0,8.06,2026-06-15
2059,川湖,-58341.0,40.0,-144.0,799656.0,-58445.0,-7.31,2026-06-15
2062,橋椿,50000.0,0.0,3000.0,233017.0,53000.0,22.75,2026-06-15
2069,運錩,139079.0,0.0,20000.0,925613.0,159079.0,17.19,2026-06-15
2072,世紀風電,-76936.0,0.0,0.0,525615.0,-76936.0,-14.64,2026-06-15
2101,南港,645849.0,0.0,10000.0,3147582.0,655849.0,20.84,2026-06-15
2102,泰豐,64481.0,0.0,6000.0,231044.0,70481.0,30.51,2026-06-15
2103,台橡,808016.0,0.0,170149.0,6345977.0,978165.0,15.41,2026-06-15
2104,國際中橡,535477.0,0.0,10001.0,2308812.0,545478.0,23.63,2026-06-15
2105,正新,-7404762.0,238510.0,-1838443.0,23581243.0,-9004695.0,-38.19,2026-06-15
2106,建大,39800.0,0.0,9000.0,768185.0,48800.0,6.35,2026-06-15
2107,厚生,-148630.0,0.0,8000.0,728337.0,-140630.0,-19.31,2026-06-15
2108,南帝,290479.0,0.0,8810.0,1730564.0,299289.0,17.29,2026-06-15
2109,華豐,-12100.0,0.0,5000.0,374114.0,-7100.0,-1.9,2026-06-15
2114,鑫永銓,-37198.0,0.0,4000.0,101680.0,-33198.0,-32.65,2026-06-15
2115,六暉-KY,-14900.0,0.0,3000.0,141286.0,-11900.0,-8.42,2026-06-15
2201,裕隆,502616.0,0.0,81813.0,2347762.0,584429.0,24.89,2026-06-15
2204,中華,-540315.0,0.0,4000.0,1046487.0,-536315.0,-51.25,2026-06-15
2206,三陽工業,-770863.0,230000.0,10000.0,1240186.0,-530863.0,-42.81,2026-06-15
2207,和泰車,-90785.0,98000.0,13392.0,1034133.0,20607.0,1.99,2026-06-15
2208,台船,359520.0,0.0,9000.0,2100995.0,368520.0,17.54,2026-06-15
2211,長榮鋼,-144446.0,240000.0,2014.0,714711.0,97568.0,13.65,2026-06-15
2227,裕日車,32100.0,0.0,0.0,61910.0,32100.0,51.85,2026-06-15
2228,劍麟,70087.0,0.0,3000.0,164548.0,73087.0,44.42,2026-06-15
2231,為升,116114.0,0.0,7803.0,268868.0,123917.0,46.09,2026-06-15
2233,宇隆,-44996.0,0.0,-3672.0,637085.0,-48668.0,-7.64,2026-06-15
2236,百達-KY,84005.0,0.0,0.0,288229.0,84005.0,29.15,2026-06-15
2239,英利-KY,5000.0,0.0,4000.0,50001.0,9000.0,18.0,2026-06-15
2241,艾姆勒,351735.0,0.0,2420.0,5892785.0,354155.0,6.01,2026-06-15
2243,宏旭-KY,163000.0,0.0,-10954.0,3098658.0,152046.0,4.91,2026-06-15
2247,汎德永業,45041.0,0.0,0.0,84500.0,45041.0,53.3,2026-06-15
