代號,名稱,分類,狀態,檢核結果,警示
2376,技嘉,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長57.0% | 季增率QoQ(17.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比9.43% | ✓ 融資使用率5.4%,-
3533,嘉澤,C.外資連買5天,✅ 通過,✓ 營收YoY成長31.5% | 季增率QoQ(18.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比9.23% | ✓ 融資使用率2.8%,-
6184,大豐電,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.0% | 季增率QoQ(0.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比6.26% | ✓ 融資使用率1.3%,-
2820,華票,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長221.3% | 季增率QoQ(33.6%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.51% | ✓ 融資使用率0.2%,-
3028,增你強,C.外資連買5天,✅ 通過,✓ 營收YoY成長108.5% | 季增率QoQ(17.4%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.48% | ✓ 融資使用率4.9%,-
3168,眾福科,C.外資連買5天,✅ 通過,✓ 營收YoY成長10.9% | 季增率QoQ(0.8%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.37% | ✓ 融資使用率0.2%,-
2345,智邦,B.投信連買4天,✅ 通過,✓ 營收YoY成長71.9% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.23% | ✓ 融資使用率1.2%,警示季增率QoQ為負(-4.3%)
2395,研華,C.外資連買5天,✅ 通過,✓ 營收YoY成長23.1% | 季增率QoQ(6.7%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.00% | ✓ 融資使用率0.9%,-
2453,凌群,C.外資連買5天,✅ 通過,✓ 營收YoY成長8.7% | 季增率QoQ(15.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比4.42% | ✓ 融資使用率10.2%,-
6449,鈺邦,C.外資連買5天,✅ 通過,✓ 營收YoY成長44.3% | 季增率QoQ(7.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.91% | ✓ 融資使用率9.9%,-
1707,葡萄王,C.外資連買5天,✅ 通過,✓ 營收YoY成長14.1% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.82% | ✓ 融資使用率0.9%,警示季增率QoQ為負(-1.4%)
8103,瀚荃,C.外資連買5天,✅ 通過,✓ 營收YoY成長43.6% | 季增率QoQ(17.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.40%,⚠️ 融資使用率20.3%
6715,嘉基,B.投信連買4天,✅ 通過,✓ 營收YoY成長26.3% | 季增率QoQ(61.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比2.19%,⚠️ 融資使用率35.1%
3702,大聯大,C.外資連買5天,✅ 通過,✓ 營收YoY成長44.6% | 季增率QoQ(6.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比1.66% | ✓ 融資使用率0.7%,-
2542,興富發,C.外資連買5天,✅ 通過,✓ 營收YoY成長2480.6% | 季增率QoQ(58.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比0.86% | ✓ 融資使用率1.5%,-
2006,東和鋼鐵,C.外資連買5天,✅ 通過,✓ 營收YoY成長12.8% | 季增率QoQ(2.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-0.17% | ✓ 融資使用率0.4%,-
2382,廣達,B.投信連買4天,✅ 通過,✓ 營收YoY成長61.9% | 季增率QoQ(36.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-0.33% | ✓ 融資使用率1.0%,-
2485,兆赫,B.投信連買4天,✅ 通過,✓ 營收YoY成長162.7% | 季增率QoQ(8.4%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比-1.08%,⚠️ 融資使用率22.1%
3583,辛耘,B.投信連買4天,✅ 通過,✓ 營收YoY成長14.4% | 季增率QoQ(5.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-1.62% | ✓ 融資使用率11.8%,-
4904,遠傳,C.外資連買5天,✅ 通過,✓ 營收YoY成長11.6% | 季增率QoQ(6.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-10.26% | ✓ 融資使用率0.0%,-
2885,元大金,C.外資連買5天,✅ 通過,✓ 營收YoY成長66.4% | 季增率QoQ(18.2%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-18.27% | ✓ 融資使用率0.0%,-
8454,富邦媒,B.投信連買4天,✅ 通過,✓ 營收YoY成長1.9% | 季增率QoQ(37.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-35.94% | ✓ 融資使用率1.3%,-
6965,中傑-KY,C.外資連買5天,❌ 未通過,營收YoY -20.2% | ✓ 5年EPS均為正 | ❌ 連續發股利不滿5年 | 法人本日買超比67.46%,警示季增率QoQ為負(-2.8%)
1517,利奇,C.外資連買5天,❌ 未通過,✓ 營收YoY成長1.4% | 季增率QoQ(8.9%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比59.86%,-
2501,國建,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,❌ 未通過,✓ 營收YoY成長13.7% | 季增率QoQ(97.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比56.30%,-
1434,福懋,B.投信連買4天,❌ 未通過,✓ 營收YoY成長5.1% | 季增率QoQ(6.1%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比53.29%,-
2002,中鋼,C.外資連買5天,❌ 未通過,✓ 營收YoY成長1.2% | 季增率QoQ(4.5%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比50.63%,-
1909,榮成,C.外資連買5天,❌ 未通過,✓ 營收YoY成長39.6% | 季增率QoQ(4.1%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比49.06%,-
2524,京城,C.外資連買5天,❌ 未通過,營收YoY -42.7% | 季增率QoQ(24.6%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比48.41%,-
1233,天仁,C.外資連買5天,❌ 未通過,營收YoY -10.1% | 季增率QoQ(5.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比46.76%,-
4572,駐龍,C.外資連買5天,❌ 未通過,營收YoY -11.0% | 季增率QoQ(2.5%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比46.58%,-
9937,全國,C.外資連買5天,❌ 未通過,營收YoY -8.6% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比44.78%,警示季增率QoQ為負(-3.8%)
5007,三星,C.外資連買5天,❌ 未通過,營收YoY -10.3% | 季增率QoQ(12.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比40.43%,-
1464,得力,C.外資連買5天,❌ 未通過,✓ 營收YoY成長2.5% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比36.73%,警示季增率QoQ為負(-3.5%)
1108,幸福,C.外資連買5天,❌ 未通過,營收YoY -16.4% | 季增率QoQ(5.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比35.98%,-
6657,華安,C.外資連買5天,❌ 未通過,營收YoY -9.5% | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比35.18%,警示季增率QoQ為負(-7.2%)
1443,立益物流,C.外資連買5天,❌ 未通過,營收YoY -9.8% | ❌ 5年內有EPS虧損 | 法人本日買超比35.16%,警示季增率QoQ為負(-3.3%)
2114,鑫永銓,C.外資連買5天,❌ 未通過,✓ 營收YoY成長37.6% | 季增率QoQ(4.9%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比34.51%,-
1444,力麗,C.外資連買5天,❌ 未通過,營收YoY -16.5% | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比34.23%,警示季增率QoQ為負(-9.8%)
1702,南僑,C.外資連買5天,❌ 未通過,營收YoY -3.0% | 季增率QoQ(8.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比33.51%,-
1103,嘉泥,C.外資連買5天,❌ 未通過,營收YoY -4.2% | 季增率QoQ(8.7%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比33.06%,-
2349,錸德,C.外資連買5天,❌ 未通過,✓ 營收YoY成長19.4% | 季增率QoQ(11.7%) | ❌ 5年內有EPS虧損 | 法人本日買超比32.29%,-
6838,台新藥,C.外資連買5天,❌ 未通過,✓ 營收YoY成長nan% | 季增率QoQ(254.1%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比32.25%,-
2327,國巨*,C.外資連買5天,❌ 未通過,✓ 營收YoY成長27.1% | 季增率QoQ(11.4%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比29.28%,-
1710,東聯,C.外資連買5天,❌ 未通過,營收YoY -2.1% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比29.26%,警示季增率QoQ為負(-7.7%)
3592,瑞鼎,C.外資連買5天,❌ 未通過,營收YoY -8.2% | 季增率QoQ(1.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比28.59%,-
6670,復盛應用,C.外資連買5天,❌ 未通過,營收YoY -13.6% | 季增率QoQ(46.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比27.13%,-
7705,三商餐飲,C.外資連買5天,❌ 未通過,營收YoY -10.0% | 季增率QoQ(2.1%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比26.74%,-
3652,精聯,C.外資連買5天,❌ 未通過,✓ 營收YoY成長19.3% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比26.67%,警示季增率QoQ為負(-8.2%)
